Numéro de ligne	Code HTTP	Encodage	Nombre de mots	URL
1	200	UTF-8	15727	https://fr.wikipedia.org/wiki/Robot
2	200	UTF-8	3916	https://fr.wikipedia.org/wiki/Robot_de_cuisine
3	301	N/A	0	fr.wikipedia.org/wiki/Robot_d%27indexation
4	200	UTF-8	5815	https://fr.wikipedia.org/wiki/Bot_informatique
5	200	UTF-8	3754	https://fr.wikipedia.org/wiki/Atlas_(robot)
6	200	N/A	166	https://roboty.magistry.fr
7	404	UTF-8	2111	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)
8	200	UTF-8	12259	https://fr.wiktionary.org/wiki/robot
9	200	UTF-8	3978	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots
10	200	UTF-8	21820	https://fr.wikipedia.org/wiki/Robotique
